species,body_mass,body_mass_log,HWI,HWI_log,life_history_PC1,median_dispersal_km,median_dispersal_log,long_dispersal_km,long_dispersal_log
Certhia_brachydactyla,-1.4070048410910123,-1.6344475740866238,-1.5000882760161098,-1.8804870532519076,1.2559002338570369,0.127919547576927,0.12037482746215589,5.80680163026653,1.9179223520206883
Certhia_familiaris,-1.3559695914666399,-1.554093921149762,-1.400355072512963,-1.6850238761122736,0.9291467448495127,0.882946037058813,0.6328375913030367,5.6436359702469,1.8936593994984603
Cettia_cetti,-1.145170540100158,-1.2389230236442974,-1.8539404186410433,-2.7123552198289884,1.0354284492970214,0.32700117561792,0.2829216412712455,8.64030441226767,2.265952686159944
Charadrius_dubius,-0.556308579201852,-0.47485998749752123,0.9369209497596396,0.9580532903191583,0.5560809703049086,2.49913471960171,1.2525157149597916,25.1976339906948,3.2656691009905745
Charadrius_hiaticula,-0.280180960778746,-0.16294487229023916,1.3558602887181124,1.2476364228056722,0.3271369482085454,3.68609131615791,1.5445988269119337,43.6627595349112,3.799140034357804
Ciconia_ciconia,1.9047490842528154,1.6836623822975256,0.5598557674097697,0.6686983213951689,-2.270402743051726,46.7806613247046,3.866620982837972,256.511839461475,5.551065697537977
Ciconia_nigra,1.8151021223629908,1.6230247175560426,0.5397670706681371,0.6524005549064263,-0.9560452610992151,94.1324591423094,4.55527022721863,512.903308724176,6.242035132436643
Cinclus_cinclus,-0.3026358405981722,-0.1873856812697225,-0.8440882955977772,-0.792857548136277,0.6992655882123138,6.15582900088305,1.9679272694530585,68.4396578949445,4.240458143711855
Circus_aeruginosus,1.0341365300331387,1.0499074348824988,0.643043831262722,0.7351853218133171,-0.6008674916810818,54.4156181070119,4.014861469311613,652.795440756162,6.482794520812388
Circus_cyaneus,0.7144513671809049,0.7882014254231795,0.45911477580798915,0.5859852053621902,-0.4675136712165823,16.2098691376189,2.845483006337415,98.6247092903141,4.601410219066614
Circus_pygargus,0.5857426918367292,0.6775897169310414,1.0102163476099537,1.0109522878362178,-0.4900967409988591,18.3243271971616,2.9613647787140787,161.311283525866,5.0895159947525475
Coccothraustes_coccothraustes,-0.3475966384443426,-0.23679496651010615,-0.4012668558832596,-0.24387059370358677,0.4657832484824242,2.86749979865587,1.352608251404545,13.4231489931929,2.6688344847978187
Columba_oenas,0.5493469373218681,0.6457252551489018,0.24167860254441234,0.39856641523913494,0.7967656762201797,2.43235601744016,1.2332469109310067,10.2894455274441,2.42386826512597
Columba_palumbus,0.8354171724396174,0.8893352239091,0.25583360410771616,0.4111609165939919,0.22303780247567428,2.36112863832973,1.2122768218367062,6.54010759255125,2.0202364514871864
Coracias_garrulus,0.1716172297374668,0.29842047890898377,-0.05098918089622763,0.1244408182895253,0.2055983350484121,4.00905732870872,1.6112477394504758,69.2368072239112,4.2518724930532965
Corvus_corax,1.1855155373506334,1.1678783084137858,-0.3567589632677001,-0.19426368152648146,-0.695354190367045,30.830146738038,3.460413851337978,139.603903304182,4.945946740756377
Corvus_corone,0.9183269937622315,0.9571465805869444,-0.045216025282730346,0.13011904783935457,-0.19182069627202417,7.13631832377317,2.0963377833217347,200.448097149958,5.305531765824355
Corvus_frugilegus,0.7912833144854504,0.8527445613766976,0.21521712414666103,0.37486742575544063,-0.3736823851368171,2.23046243703295,1.1726252963468569,40.8371228909747,3.733784052836223
Coturnix_coturnix,-0.05663742629436119,0.07225242407102873,0.3998849743053651,0.5361760433524831,0.889940969925869,42.0051134799722,3.7613190267622496,150.558955924099,5.020974697264828
Crex_crex,0.20409328628606552,0.32954489867267006,-0.30250296715629726,-0.13496951835984275,0.9314865623612677,3.02271738205624,1.3919576399546616,50.489261596055,3.9413732732299342
Cygnus_cygnus,2.452005860162843,2.0344230868545647,0.5287238834105759,0.6434003020510658,-3.232503054743072,16.799559767313,2.8791737248187674,244.709692523564,5.504150727359412
Cygnus_olor,2.5250242317581715,2.0788936437124104,0.2700712514182552,0.4237714386587557,-3.263956456051647,10.6022420255194,2.451198357498538,124.71972173036,4.834054998519027
Delichon_urbicum,-1.0945040365058052,-1.1668722657516417,1.31429053165212,1.2202181295920087,0.5165513943729649,0.610610262611979,0.4766131522775336,4.96662414410337,1.7861812974666185
Dendrocopos_major,-0.1940097360269497,-0.07056909128931411,-0.6973148854392591,-0.598583815571856,0.5468570188933347,0.294918810379209,0.2584479984982376,7.15802089842569,2.0990016026015352
Dryocopus_martius,0.60353416706443,0.6930705424350124,-0.8752185970809843,-0.8358745020800267,0.4146498299834008,3.12914616837624,1.4180706467075592,24.3743155449186,3.2337374633988905
Emberiza_cirlus,-0.7828643929489122,-0.7511443647575636,-1.3381904385155978,-1.56981942639514,0.9793656513108927,0.550162109472272,0.4383595122186463,5.52278454639306,1.8753013624344992
Emberiza_citrinella,-0.701421794798129,-0.6495239916119397,-0.857302922636882,-0.8110364387700875,0.7468204461218352,0.420420357380841,0.350952854130558,2.08005745480197,1.1249482509679802
Emberiza_hortulana,-0.9209492960845402,-0.9298276684726585,-0.5992644236922976,-0.47600183962792564,0.7120509905444393,0.130562017394578,0.12271486960767297,0.452098946785803,0.3730100592501136
Emberiza_schoeniclus,-0.9639138109058879,-0.9871621652594259,-1.3164241594434603,-1.5305884498735043,0.6749103888448881,0.224831311596103,0.20280312969500333,1.16579043076129,0.7727853898633332
Erithacus_rubecula,-0.9851775934576302,-1.015857392612026,-1.4517430727831417,-1.7840135369463739,0.6016275527199273,0.00073702542760674,0.0007367539577448099,25.006291350891,3.2583384837845144
Falco_naumanni,0.19391307828490006,0.3198154767013878,1.1477087732648066,1.1075381648000588,0.10036029876992601,1.58088184063333,0.9481311392287481,23.7697469303245,3.2096230266676677
Falco_peregrinus,1.0760077534601378,1.0829018957940941,1.2564778903775113,1.1816295027489676,-0.3546173290551396,38.9823510962165,3.688438134152018,183.565969078952,5.218006955556154
Falco_subbuteo,0.36610205592054706,0.4811544045977627,1.4768790917385215,1.3259457397256484,-0.1743580838505787,35.0700208743747,3.5854620736337357,191.961881846818,5.262492666014161
Falco_tinnunculus,0.2960806209455717,0.4163599975471548,0.9227783797467043,0.9477289455905569,0.08361330999762213,24.3433632688494,3.2325168917703833,307.594857947116,5.732029277272793
Ficedula_albicollis,-1.1676023478878472,-1.271258855130097,-0.6854973111084705,-0.5835187794166453,0.731840399493698,2.86408246240706,1.3517242573252066,7.82261907654912,2.1773187733930794
Ficedula_hypoleuca,-1.1220280551617776,-1.2058453988460565,-0.6019223648180327,-0.4792542222210184,0.4150179743398377,1.89040539586414,1.0613967676721845,46.2455823281916,3.8553591538691077
Fringilla_coelebs,-0.8226039951886682,-0.8017222023639219,-0.7857619843854061,-0.7140158232470412,0.35835514217496556,0.373528881087553,0.31738325369837583,2.56171626124788,1.2702425245492133
Fringilla_montifringilla,-0.8370688550767255,-0.8202985520807711,-0.35728636830499394,-0.19484633649920707,0.5307814400228597,2.16139324287679,1.151012830075686,6.3268223461832,1.9915419084232788
Fulica_atra,1.0442050538485041,1.0578673183596106,0.14916957283788215,0.3148148182324678,0.23530558239852423,1.1200600535665,0.7514444154367244,14.6548362527004,2.7507798949792006
Gallinula_chloropus,0.6344631023121424,0.7198350953011324,-0.5900977681181937,-0.46481429602591995,0.6301285444536698,2.28835130109881,1.1903863148864653,8.05670393416624,2.203505249686182
Garrulus_glandarius,0.21996397857901007,0.34466387358919215,-1.5122410282553567,-1.905275969628209,0.08765378347522315,0.843068766609173,0.6114319903134507,7.71659365978422,2.1652285262571795
Glaucidium_passerinum,-0.3357217816961577,-0.2236833491157243,-0.879344412704566,-0.8416261748895548,0.802397180003714,7.01165569364359,2.0808974430463696,73.2942637488243,4.308033744824418
Grus_grus,2.1610974880307077,1.8519585672878383,0.3502968935418215,0.49377488809313963,-2.168697464186911,46.3389154053538,3.85733269307885,586.42722015179,6.375752357751781
Haliaeetus_albicilla,2.0783277689919655,1.7984204196348939,-0.014653023283453264,0.15998708142616205,-2.8119482412548242,66.949437891568,4.218763868179831,306.079032273504,5.727105148572369
Himantopus_himantopus,0.2766179237238728,0.39815447488604067,1.0219745202642738,1.0193451746628557,0.10051747232111077,17.207229374715,2.901818733603344,387.460644250476,5.962191862875752
Hippolais_icterina,-1.1460005677083966,-1.2401146885842098,-0.5395340125730521,-0.4039024606262922,0.5589550605056571,0.513169625702389,0.414206540684968,5.53048061649719,1.876480541881151
Hippolais_polyglotta,-1.2459552769429592,-1.3863894617619177,-1.305074610381887,-1.5103506404790745,0.6388146794646677,0.921594177624495,0.653155142376718,1.73519337239075,1.006202136259714
Hirundo_rustica,-0.9787114157694643,-1.0071086724434672,0.9459727162796955,0.9646411090559739,1.0362175492520578,0.486772397741074,0.3966075943917635,10.3123143154505,2.4258918947875086
Jynx_torquilla,-0.6120282755855392,-0.5409911104779138,-0.920091219101049,-0.8990809290556836,1.064675468265635,1.00768481811747,0.6969822264205786,16.8357066670845,2.8812024405145227
Lanius_collurio,-0.7251879403477418,-0.6789017286512675,-0.6875512021575053,-0.5861312018264881,0.6333230657572568,0.889158244398362,0.6361313565291902,8.17540953068774,2.216527028441801
Limosa_limosa,0.5447653647844913,0.641695307386433,0.9744758637663703,0.9852837467539135,-0.5771292064667273,3.79151983105524,1.56684765359208,57.2710546443208,4.0651054802587545
Locustella_naevia,-1.1418629395886624,-1.2341779902902164,-0.8717327875826217,-0.831024334071126,1.1637438987768989,0.502345470348842,0.407027533784455,13.6720761094292,2.6859461028935936
Loxia_curvirostra,-0.5621477194836391,-0.4817370655379893,-0.2572369946119455,-0.0864534215101442,0.707185734518136,1.78723758794338,1.0250509935005043,14.8246848593368,2.7615710537300115
Lullula_arborea,-0.7557082505615176,-0.7169607385159174,-0.6717719805275146,-0.5661239797041184,1.0597667686901169,4.76794691988498,1.7523161974238308,13.3958455011305,2.666939658089905
Luscinia_luscinia,-0.8228342964047334,-0.8020172621645308,-0.5730630884302118,-0.4441434048076175,0.6284534651585318,0.497816002837242,0.40400804900441667,3.37890512615064,1.4767987219418632
Luscinia_megarhynchos,-0.9292770472870658,-0.9408741197899568,-0.6472634816771237,-0.5353322767701907,0.7123810493593263,1.05691256970466,0.7212061059778438,3.27722477135469,1.453304381372112
Luscinia_svecica,-0.8228342964047334,-0.8020172621645308,-0.5730630884302118,-0.4441434048076175,0.6284534651585318,0.121253681312425,0.11444741760726276,0.639495546125984,0.4943886006938037
Melanitta_fusca,1.5487950523302705,1.4370370205148197,0.8559642283365346,0.8984260699005333,-0.4396513893488988,0.734554410840649,0.5507505566909936,46.889772220449,3.8689019580360235
Mergellus_albellus,0.9542048564639753,0.9861240047527757,1.1363841683650102,1.0997089042539918,0.3424474579615003,0.722770361566953,0.5439336704086413,4.82725533334412,1.7625461062062533
Mergus_merganser,1.430588134151132,1.3515074048116016,0.4319555356588665,0.5632568549778496,-0.017638925786214184,1.05311943275773,0.7193603110927532,7.22047752651885,2.1066283006312094
Mergus_serrator,1.2347534255872736,1.2054823955456206,0.7763825570263717,0.8385331200512928,-0.22670165710475715,0.778735506860484,0.5759027224536547,5.12799901101558,1.8128682710504802
Merops_apiaster,-0.34788714507757806,-0.2371162903979155,0.5782842179293507,0.6835652673070983,0.5777797872613923,1.16764356520852,0.7736406628694139,10.0233353900899,2.400014424907664
Milvus_milvus,1.264498032305836,1.228022052429644,0.919153068579475,0.9450761904619989,-0.9771120957633495,17.6346373752766,2.9250220734060455,256.684738669771,5.551736894599938
Motacilla_flava,-0.9857974152523985,-1.0166970565456337,-0.4535867346042666,-0.3033438705954545,0.681351672495047,0.201967703825798,0.18395996705470657,2.48877025305242,1.2495493110976699
Muscicapa_striata,-1.0439731412174833,-1.0963348235927333,-0.6683207840934072,-0.5617672409255307,0.7614757729632121,0.290756442040072,0.2552284356929779,27.0575384361455,3.3342573458136173
Numenius_arquata,1.106209705739249,1.1065263892349964,1.1327788763536435,1.0972117353704463,-1.1292359630508166,2.97727203110243,1.3805961649681342,261.666178725427,5.5708839435437305
Numenius_phaeopus,0.6733118782204265,0.7531912137963123,1.184974426425933,1.1331466159817556,-0.6409598464684954,3.57257276679691,1.5200760151632358,840.884520818835,6.73564285616537
Oenanthe_oenanthe,-0.7873801640568242,-0.7568583258860739,-0.35080393516043007,-0.1876933080016409,0.839057066195829,0.626061062861704,0.48616056445597206,2.89561567743702,1.3598517354927997
Pandion_haliaetus,1.4426137133617187,1.3602960874725356,0.2878111227226998,0.4394040192884237,-1.3391828618744113,80.1844275723319,4.3967234501098895,529.159902171573,6.273178663253723
Parus_major,-1.0320360239409134,-1.079858803024333,-1.3899426270530661,-1.6653901688922772,1.046537347846517,0.693820728824897,0.5269867634898094,10.017159691012,2.3994540292162974
Passer_domesticus,-0.7637147921732156,-0.7270076547882912,-0.9133666873005263,-0.8895165473588783,0.833652484035527,0.405534621188101,0.3404177437100221,6.30748919972523,1.9888997400309407
Phoenicurus_ochruros,-1.0236658904878253,-1.0683480331143151,-1.0424736579635756,-1.079178664664297,0.9587334209876266,1.81349330372819,1.0344268798379608,5.1164515612064,1.8109821181088717
Phoenicurus_phoenicurus,-1.09111172703673,-1.1620961013696978,-0.9042622245316876,-0.8766195712361673,1.0487912822842402,1.00750043032476,0.6968903811972923,63.2976760124753,4.163523487705105
Phylloscopus_collybita,-1.4003595102188393,-1.6238890633375962,-1.5472202006827258,-1.9778896355468174,1.0881468046906697,0.0469394769544578,0.04587112406135877,0.341545968343564,0.29382265667258217
Phylloscopus_sibilatrix,-1.3439200275428613,-1.5353648277794958,-0.5081318133730406,-0.3667371209864731,0.7327584817739903,3.33816675468388,1.4674518521185829,11.4649587035756,2.5229214039797085
Phylloscopus_trochilus,-1.3745555426458624,-1.5831629046749383,-0.9152930452337686,-0.892253055139217,0.6949599347308694,0.0281282321144296,0.027739898664583706,5.13242093197255,1.8135896037893695
Pica_pica,0.3900882612136916,0.503101263825585,-1.207228466273536,-1.341751026700363,-0.11878251506588952,2.82854683821164,1.3424853155857024,33.2306190015017,3.533120535974898
