order,validation_type,model_type,R2,R2_adjusted,RMSE
Passeriformes,within,migration_distance,0.154766377068323,0.0843302418240163,0.377964269716953
Passeriformes,within,migration_distance,0.291713135956277,0.232689230619301,0.616554489428068
Passeriformes,within,migration_distance,0.105273809972903,0.0239350654249854,0.336549426575835
Accipitriformes,between,only_Latitude,0.239389778097296,0.154877531219218,0.524123941095087
Anseriformes,between,only_Latitude,0.140130443151649,0.0541434874668139,0.591547050311727
Charadriiformes,between,only_Latitude,0.183997184275085,0.0933302047500946,0.450969308651664
Passeriformes,between,only_Latitude,0.0262510814813123,0.011497309988605,0.503535608573545
Accipitriformes,within,only_Latitude,0.0092655036060467,-0.320979328525271,0.553834607806679
Accipitriformes,within,only_Latitude,0.636945224512083,0.546181530640104,0.338737854239093
Anseriformes,within,only_Latitude,0.0053679590766834,-0.243290051154146,0.696373181494054
Anseriformes,within,only_Latitude,0.362745936397699,0.203432420497123,0.439074800114092
Charadriiformes,within,only_Latitude,0.342386250350954,0.123181667134605,0.102798363019719
Charadriiformes,within,only_Latitude,0.16049220024387,-0.0493847496951618,0.573276033086713
Passeriformes,within,only_Latitude,0.247528596194924,0.179122104939917,0.417152216706713
Passeriformes,within,only_Latitude,0.0536746916213523,-0.0251857507435349,0.31692914439309
Passeriformes,within,only_Latitude,0.113428613390642,0.0395476645065295,0.40136728605405
Passeriformes,within,only_Latitude,0.0769054649822879,-1.90796025214546e-05,0.328477112777174
Passeriformes,within,only_Latitude,0.0502244258475888,-0.0361188081662667,0.773947842398166
Accipitriformes,between,only_habita_for,0.328635519792637,0.254039466436263,0.492415935826094
Anseriformes,between,only_habita_for,0.159652537085637,0.0756177907942007,0.584793387334074
Charadriiformes,between,only_habita_for,0.107366378048449,0.0081848644982768,0.471669482839593
Passeriformes,between,only_habita_for,0.0004432603033792,-0.0147015387829332,0.510164717304949
Accipitriformes,within,only_habita_for,0.0344976922243695,-0.287336410367507,0.47819557604063
Accipitriformes,within,only_habita_for,0.12941091066758,-0.0882363616655248,0.512706028207922
Anseriformes,within,only_habita_for,0.0041132275468933,-0.244858465566383,0.376899987924703
Anseriformes,within,only_habita_for,0.323035587658114,0.153794484572642,0.640847620701233
Charadriiformes,within,only_habita_for,0.0634391352465284,-0.248747819671295,0.326137011144058
Charadriiformes,within,only_habita_for,0.0611811474155563,-0.173523565730555,0.569215407296614
Passeriformes,within,only_habita_for,0.0873821497674616,0.0044168906554127,0.386079000374685
Passeriformes,within,only_habita_for,0.0381797192625656,-0.041971970798887,0.295092951546246
Passeriformes,within,only_habita_for,0.0091137869896794,-0.0734600640945138,0.761123415253654
Passeriformes,within,only_habita_for,0.0016224177890365,-0.0815757140618769,0.416957488742143
Passeriformes,within,only_habita_for,0.0486308504218741,-0.0378572540852282,0.467420374609823
