"","fold","order","type","complexity","id","AIC","AICc","BIC","R2","R2_adjusted","RMSE","Sigma","R2_s"
"69","fold_1","Charadriiformes","within","only_distance_mig",70,7.81901881450926,31.8190188145093,6.64733255181156,0.00942874668838558,-0.320761671082153,0.29024303601382,0.374702148278069,0.00898947106067592
"70","fold_2","Charadriiformes","within","only_distance_mig",71,13.6956570830547,25.6956570830547,13.0709354907389,0.151951320180762,-0.0600608497740476,0.459491986804776,0.562760454284681,0.151575247167427
"71","total","Accipitriformes","betweeen","only_distance_mig",72,23.1872597894062,26.6158312179776,24.3809456078013,0.226615514711611,0.140683905235123,0.528506882068126,0.584286342313528,0.226272552048299
"72","total","Anseriformes","betweeen","only_distance_mig",73,22.980605991044,25.980605991044,24.435325940408,0.407718373716956,0.348490211088652,0.490949855557131,0.537808620985087,0.407455722360684
"73","total","Charadriiformes","betweeen","only_distance_mig",74,21.5271408111586,24.95571223973,22.7208266295537,0.0362701836001922,-0.0708109071108975,0.490093345291875,0.541818579527747,0.0358428109920873
"74","total","Passeriformes","betweeen","only_distance_mig",75,101.01988061298,101.39488061298,107.678403728508,0.0905597502501376,0.0767803525266548,0.486624285921814,0.493942354999568,0.0901564527233441
"75","fold_1","Passeriformes","within","only_PC1",76,21.4504393778087,24.1171060444753,23.1452874501933,0.663877454137684,0.633320859059292,0.438370487257001,0.476558962609057,0.66372839828549
"76","fold_2","Passeriformes","within","only_PC1",77,15.7095250540306,18.1095250540306,17.6266970428763,0.293756904598033,0.234903313314536,0.342265070810383,0.369688529007383,0.293443716245341
"77","fold_3","Passeriformes","within","only_PC1",78,19.1043460731249,21.5043460731249,21.0215180619707,0.0208177682585597,-0.0607807510532268,0.386383000007968,0.417341338887427,0.0203835431707103
"78","fold_4","Passeriformes","within","only_PC1",79,14.5317949758162,16.9317949758162,16.448966964662,0.226171303252216,0.161685578523234,0.328167355747951,0.354461256380772,0.22582814360028
"79","fold_5","Passeriformes","within","only_PC1",80,18.4781716123777,21.1448382790444,20.1730196847623,0.122773990502791,0.04302617145759,0.391015195803052,0.425078333266159,0.122384978602156
"80","fold_1","Accipitriformes","within","only_PC1",81,6.72424938627267,30.7242493862727,5.55256312357497,0.767851209060991,0.690468278747988,0.26014565466458,0.335846596034715,0.767748261084739
"81","fold_2","Accipitriformes","within","only_PC1",82,14.9593212793184,26.9593212793184,14.3345996870026,0.319756446364844,0.149695557956055,0.510518487981291,0.625254899905674,0.319454787687571
"82","fold_1","Anseriformes","within","only_PC1",83,8.43185543063464,20.4318554306346,7.8071338383188,0.0579461632968617,-0.177567295878923,0.296329308606144,0.36292780095839,0.0575284030508717
"83","fold_2","Anseriformes","within","only_PC1",84,-0.618465581660361,11.3815344183396,-1.2431871739762,0.962805513001167,0.953506891251459,0.139390304924876,0.170717561078451,0.962789018850374
"84","fold_1","Charadriiformes","within","only_PC1",85,14.2979598597659,38.2979598597659,13.1262735970682,0.0120618522048686,-0.317250863726842,0.554802798037319,0.716247332409272,0.0116237442458902
"85","fold_2","Charadriiformes","within","only_PC1",86,11.8772316197026,23.8772316197026,11.2525100273868,0.0321099368447951,-0.209862578944006,0.394881629334465,0.48362925033414,0.0316807193466848
"86","total","Accipitriformes","betweeen","only_PC1",87,20.61837881142,24.0469502399915,21.8120646298151,0.387688166742429,0.319653518602699,0.47026130576968,0.519893434886873,0.387416632853262
"87","total","Anseriformes","betweeen","only_PC1",88,5.9790258531852,8.97902585318519,7.4337458025492,0.856378136614055,0.842015950275461,0.241759353164511,0.264834102432122,0.856314446512025
"88","total","Charadriiformes","betweeen","only_PC1",89,21.2155121170859,24.6440835456573,22.409197935481,0.0631894250425331,-0.04090063884163,0.483200138338792,0.534197852505865,0.0627739899569866
"89","total","Passeriformes","betweeen","only_PC1",90,84.0329135518392,84.4079135518392,90.6914366673676,0.291591460154694,0.280857997429765,0.42948558086551,0.435944373078725,0.291277311520787
"90","fold_1","Passeriformes","within","only_diet",91,17.9380747545234,20.6047414211901,19.632922826908,0.0927976212848947,0.0103246777653399,0.382976437769944,0.416339281937922,0.0923953161573862
"91","fold_2","Passeriformes","within","only_diet",92,20.4403964739716,22.8403964739716,22.3575684628174,0.0130788725339927,-0.0691645547548412,0.405266628016362,0.437737988315359,0.0126412155796664
"92","fold_3","Passeriformes","within","only_diet",93,15.0246700140318,17.4246700140318,16.9418420028776,0.108351881973277,0.034047872137717,0.333995122352736,0.360755963750182,0.107956474489532
"93","fold_4","Passeriformes","within","only_diet",94,14.5166636972633,16.9166636972633,16.4338356861091,0.013078867486315,-0.0691645602231585,0.327990061097821,0.354269756271655,0.0126412105297503
"94","fold_5","Passeriformes","within","only_diet",95,36.8272772706204,39.493943937287,38.522125343005,0.00439433158394234,-0.0861152746356992,0.791936535125172,0.860925779910463,0.00395282341026715
"95","fold_1","Accipitriformes","within","only_diet",96,10.8426433179517,34.8426433179517,9.67095705525399,0.00097270754651646,-0.332036389937978,0.392713790290879,0.506991323207522,0.000529682030154608
"96","fold_2","Accipitriformes","within","only_diet",97,17.1633079483238,29.1633079483238,16.538586356008,0.228897377747367,0.0361217221842087,0.613446102703546,0.751314968161326,0.228555426991895
"97","fold_1","Anseriformes","within","only_diet",98,9.66567122921252,21.6656712292125,9.04094963689668,0.214184859149098,0.0177310739363723,0.32841870968901,0.402229130360658,0.213836384026176
